index,name,nameEng,group,image,color
1,New,,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9200000002259%5D_20221007082850170.jpg,FF9400
2,추천,Recommend,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B110563%5D_20210426095937947.jpg,1B3C35
3,리프레셔,Starbucks Refreshers,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/%5B9200000003763%5D_20220803131322900.jpg,1B3C35
4,콜드 브루,Cold Brew,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003285]_20210416154437226.jpg,1B3C35
5,블론드,Blonde Coffee,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002950%5D_20210426150654889.jpg,1B3C35
6,에스프레소,Espresso,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9200000002259%5D_20221007082850170.jpg,FF9400
7,디카페인 커피,Decaf Coffee,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B128692%5D_20210426091933798.jpg,1B3C35
8,프라푸치노,Frappuccino,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9200000004261%5D_20220922123939243.jpg,FF9400
9,블렌디드,Blended,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000003276%5D_20210416154001576.jpg,1B3C35
10,피지오,Starbucks Fizzio,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/%5B9200000004121%5D_20220517102911830.jpg,1B3C35
11,티바나,Teavana,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9200000004264%5D_20220922123458792.jpg,FF9400
12,브루드 커피,Brewed Coffee,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B2%5D_20210430111934246.jpg,1B3C35
13,아포가토/기타,Others,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9200000004308%5D_20220916101121232.jpg,1B3C35
14,병음료,RTD,drink,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9300000004347%5D_20220921130952614.jpg,1B3C35
15,New,,food,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9300000004345%5D_20220908090533676.jpg,FF9400
16,추천,Recommend,food,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9300000000689%5D_20221011130104258.jpg,1B3C35
17,브레드,Bread,food,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9300000004313%5D_20221011123809168.jpg,1B3C35
18,케이크&미니디저트,Cake&Mini Dessert,food,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9300000004345%5D_20220908090533676.jpg,FF9400
19,샌드위치&샐러드,Sandwitch&Salad,food,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9300000004311%5D_20221011124051205.jpg,1B3C35
20,따듯한 푸드,Hot Food,food,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/%5B9900000001201%5D_20220506095743435.jpg,1B3C35
21,과일&요거트,Fruit&Yogurt,food,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000004139%5D_20220418095426844.jpg,1B3C35
22,스낵,Snack,food,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/%5B9300000004212%5D_20220520084512244.jpg,1B3C35
23,아이스크림,Ice Cream,food,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B5110009050%5D_20210422110047154.jpg,1B3C35
24,New,,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003590%5D_20220413124748985.jpg,FFFFFF
25,추천,Rcommend,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003839%5D_20220413141839541.jpg,FFFFFF
26,머그/글라스,Mug/Glass,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003834%5D_20220413143035673.jpg,FFFFFF
27,스테인리스 텀블러,Stinless stell Tumbler,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003590%5D_20220413124748985.jpg,FFFFFF
28,플라스틱 텀블러,Plastic Tumbler,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003596%5D_20220413130152765.jpg,FFFFFF
29,보온병,Vaccum flask,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003593%5D_20220413124443742.jpg,FFFFFF
30,액세서리,ACC,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003604%5D_20220413141039371.jpg,FFFFFF
31,커피용품,Brewing Item,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003839%5D_20220413141839541.jpg,FFFFFF
32,패키지 티,Packaged Tea,product,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B11120812%5D_20210415165337878.jpg,FFFFFF
33,시럽,Syrup,product,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/%5B9300000003918%5D_20220511095504617.jpg,FFFFFF
